StoreId,Mean of Rows Added,Mean of Total Rows,Mean of Uploaded Files Count,Variance of Rows Added,Variance of Total Rows,Variance of Uploaded Files Count,Standard Deviation of Rows Added,Standard Deviation of Total Rows,Standard Deviation of Uploaded Files Count
3644,0.0,293.3333333333333,0.037037037037037035,0.0,118704.69230769227,0.03703703703703703,0.0,344.53547322110717,0.19245008972987523
3645,3.0,121.66666666666667,0.3333333333333333,74.76923076923077,24170.076923076915,0.46153846153846156,8.646920305474705,155.4672857004872,0.6793662204867574
3646,0.0,1973.6666666666667,0.0,0.0,8090363.307692305,0.0,0.0,2844.3563960397623,0.0
3647,0.0,1495.3333333333333,0.18518518518518517,0.0,4644045.230769231,0.15669515669515668,0.0,2155.004693908863,0.3958473906635696
3648,440.1111111111111,3863.185185185185,0.6666666666666666,1152222.871794871,13266873.541310541,0.6923076923076923,1073.416448446208,3642.371966357986,0.8320502943378437
3649,0.0,758.3333333333334,0.0,0.0,1194374.9999999995,0.0,0.0,1092.8746497197194,0.0
3650,42.0,861.925925925926,1.962962962962963,4897.2307692307695,1239014.6096866098,5.19088319088319,69.98021698473626,1113.1103313178842,2.278350980618041
3651,0.4444444444444444,4.0,0.2962962962962963,1.17948717948718,14.538461538461538,0.21652421652421647,1.0860419786947373,3.812933455813455,0.4653216269680751
3652,143.5185185185185,3566.6666666666665,0.37037037037037035,94115.0284900285,21095625.000000004,0.24216524216524224,306.78172776426646,4592.9973873278,0.4921028776234114
3653,0.0,596.3333333333334,0.2222222222222222,0.0,738581.7692307689,0.1794871794871796,0.0,859.4078014719024,0.42365927286816185
3654,2603.074074074074,13165.185185185184,0.25925925925925924,87915356.91737892,253053892.925926,0.19943019943019946,9376.318942814334,15907.667739990235,0.4465760847047225
3655,3354.925925925926,6115.7037037037035,9.814814814814815,17383736.763532765,7905677.985754987,79.84900284900283,4169.380860935202,2811.703751421011,8.935826925864378
3656,0.0,101.0,0.14814814814814814,0.0,21186.69230769231,0.13105413105413108,0.0,145.5564918088242,0.3620139928982457
3657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3658,0.0,12857.666666666666,0.0,0.0,343356075.92307687,0.0,0.0,18529.869830170876,0.0
3659,0.0,1881.6666666666667,0.0,0.0,7353698.076923079,0.0,0.0,2711.770284689151,0.0
3660,42.77777777777778,788.6666666666666,0.37037037037037035,8361.410256410261,950400.2307692311,0.24216524216524224,91.4407472432846,974.8847269135111,0.4921028776234114
3661,0.0,1456.6666666666667,0.0,0.0,4406976.923076921,0.0,0.0,2099.2800963846917,0.0
3662,0.0,2112.6666666666665,0.0,0.0,9270056.307692314,0.0,0.0,3044.676716449928,0.0
3663,137.77777777777777,4208.666666666667,0.37037037037037035,86736.41025641031,30668135.07692308,0.24216524216524224,294.5104586536959,5537.881822224367,0.4921028776234114
3664,0.0,868.0,0.0,0.0,1564803.6923076923,0.0,0.0,1250.9211375253406,0.0
3665,0.0,47.0,0.0,0.0,1670.5384615384614,0.0,0.0,40.87222114760172,0.0
3666,0.0,2574.6666666666665,0.2222222222222222,0.0,13767732.923076924,0.1794871794871796,0.0,3710.489579971479,0.42365927286816185
3667,243.25925925925927,7170.851851851852,22.40740740740741,140483.89173789177,96319982.20797719,286.0968660968661,374.8118084290992,9814.274410672304,16.91439818902423
3668,1662.3703703703704,4558.666666666667,0.5925925925925926,8199322.165242165,10910973.000000004,0.2507122507122506,2863.4458551266803,3303.1761987517416,0.5007117441325404
3669,0.0,1805.3333333333333,0.0,0.0,6769166.769230772,0.0,0.0,2601.7622430250563,0.0
3670,0.0,914.3333333333334,0.0,0.0,1736319.0,0.0,0.0,1317.694577662062,0.0
3671,0.0,212.66666666666666,0.0,0.0,93933.23076923074,0.0,0.0,306.4852863829367,0.0
3672,0.0,630.3333333333334,0.0,0.0,825203.3076923079,0.0,0.0,908.4070165362594,0.0
3673,0.0,207.66666666666666,0.0,0.0,89568.23076923078,0.0,0.0,299.2795194617079,0.0
3674,0.0,2047.0,0.2222222222222222,0.0,8702741.76923077,0.17948717948717957,0.0,2950.0409775511202,0.4236592728681618
3675,0.0,30.0,0.0,0.0,1869.2307692307693,0.0,0.0,43.23460152737353,0.0
3676,20.814814814814813,666.2962962962963,0.7407407407407407,3585.079772079773,676940.7549857552,2.2763532763532757,59.87553567259147,822.7640943707711,1.5087588529494287
3677,0.0,1003.3333333333334,0.1111111111111111,0.0,2090792.307692307,0.10256410256410257,0.0,1445.9572288599365,0.32025630761017426
3678,0.0,332.3333333333333,0.0,0.0,229386.6923076923,0.0,0.0,478.94330803101565,0.0
3679,12.703703703703704,1170.0,0.5925925925925926,478.8319088319089,1225156.8461538462,0.4045584045584043,21.8822281505314,1106.868034660793,0.6360490582953522
3680,0.0,18096.0,0.07407407407407407,0.0,679819436.3076923,0.07122507122507124,0.0,26073.347240193238,0.2668802563418119
3681,2.5555555555555554,1022.074074074074,8.296296296296296,10.871794871794872,2148699.994301994,135.13960113960118,3.297240493472515,1465.8444645670952,11.62495596291019
3682,134.7037037037037,780.2962962962963,6.407407407407407,58467.678062678075,294182.678062678,60.40455840455842,241.80090583510656,542.3860968559925,7.772036953370617
3683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3684,0.0,2537.0,0.14814814814814814,0.0,13367843.307692308,0.13105413105413105,0.0,3656.2061358315545,0.36201399289824565
3685,0.0,785.3333333333334,0.037037037037037035,0.0,1280939.0769230765,0.037037037037037035,0.0,1131.7857910943558,0.19245008972987526
3686,2.5185185185185186,148.11111111111111,0.25925925925925924,53.33618233618234,38487.79487179487,0.19943019943019946,7.303162488688194,196.1830646916162,0.4465760847047225
3687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3688,3.7777777777777777,747.3333333333334,0.4444444444444444,51.87179487179487,601324.8461538461,0.25641025641025644,7.202207638758749,775.4513821986818,0.5063696835418333
3689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3692,76.5925925925926,954.1481481481482,0.7037037037037037,21242.558404558393,1287935.5925925924,0.6011396011396011,145.74827067433216,1134.8725005887632,0.7753319296531009
3693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3694,71.33333333333333,2198.6666666666665,0.6666666666666666,10568.30769230769,9094608.923076926,0.2307692307692307,102.80227474286593,3015.7269311190835,0.4803844614152613
3695,155.33333333333334,2350.0,0.4444444444444444,87697.61538461542,8396412.23076923,0.25641025641025644,296.13783173484507,2897.6563341378546,0.5063696835418333
3696,2.5185185185185186,10402.333333333334,0.14814814814814814,82.3361823361823,224007046.84615377,0.13105413105413105,9.073928715621603,14966.864963851105,0.36201399289824565
3697,2.074074074074074,2057.3333333333335,0.5555555555555556,12.763532763532766,3624204.0,0.25641025641025644,3.57260867763778,1903.734225148038,0.5063696835418333
3698,15164.407407407407,23181.11111111111,1.5925925925925926,681784740.5584044,666530734.1794873,0.866096866096867,26111.00803413006,25817.25651922542,0.9306432539361509
3699,0.0,313.6666666666667,0.2222222222222222,0.0,169457.76923076928,0.1794871794871796,0.0,411.65248600095845,0.42365927286816185
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3701,0.0,1785.3333333333333,0.0,0.0,1203414.4615384613,0.0,0.0,1097.0024893036757,0.0
3702,5.037037037037037,415.0,0.2962962962962963,151.49857549857552,329193.0,0.2165242165242165,12.308475758540354,573.7534313622882,0.46532162696807516
3703,164.03703703703704,465.9259259259259,12.185185185185185,42880.49857549859,51788.60968660968,175.15669515669515,207.07606953846354,227.57110907716225,13.234677750391022
3704,0.0,7605.0,0.0,0.0,120120975.0,0.0,0.0,10959.971487189188,0.0
3705,2.2222222222222223,476.3333333333333,0.4444444444444444,17.948717948717952,461416.3846153846,0.25641025641025644,4.236592728681617,679.2763683622334,0.5063696835418333
3706,0.0,9972.0,0.0,0.0,179951480.30769232,0.0,0.0,13414.599520958212,0.0
3707,0.0,971.3333333333334,0.0,0.0,918146.9999999998,0.0,0.0,958.1998747651764,0.0
3708,158.88888888888889,1001.2962962962963,7.222222222222222,73741.87179487178,1172270.8319088318,23.179487179487182,271.55454662898165,1082.7145662217868,4.814507989347113
3709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3710,0.0,812.6666666666666,0.0,0.0,1070269.8461538465,0.0,0.0,1034.5384701178814,0.0
3711,0.0,382.3333333333333,0.0,0.0,293396.076923077,0.0,0.0,541.6604812270109,0.0
3712,38.111111111111114,479.8888888888889,10.11111111111111,4120.102564102564,345833.7948717949,224.25641025641022,64.18802508336398,588.076351226433,14.975193162574238
3713,82.22222222222223,675.5925925925926,1.037037037037037,15195.17948717949,481654.63532763545,1.3447293447293447,123.26872874812773,694.0134258986892,1.1596246568305386
3714,0.0,2891.3333333333335,0.0,0.0,17356674.69230769,0.0,0.0,4166.134262395739,0.0
3715,0.0,1000.6666666666666,0.0,0.0,2079693.2307692305,0.0,0.0,1442.1141531686146,0.0
3716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3717,1808.5185185185185,3474.4444444444443,15.74074074074074,3216502.2592592593,125972.41025641032,181.89173789173785,1793.4609723267633,354.9259222097061,13.486724505666224
3718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3719,305.4074074074074,1500.3333333333333,0.7777777777777778,92148.01994301993,1727779.3846153843,0.17948717948717954,303.5589233460613,1314.4502214292424,0.42365927286816174
3720,0.0,2040.3333333333333,0.0,0.0,8646147.923076922,0.0,0.0,2940.433288322815,0.0
3721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3724,242.37037037037038,1643.3333333333333,0.4444444444444444,230336.6267806268,1607022.2307692308,0.25641025641025644,479.93398168980156,1267.6838055166718,0.5063696835418333
3725,0.037037037037037035,1276.148148148148,0.037037037037037035,0.03703703703703703,3382381.6695156703,0.03703703703703703,0.19245008972987523,1839.125245739308,0.19245008972987523
3726,26.666666666666668,547.5925925925926,0.3333333333333333,4138.461538461537,436219.8660968661,0.30769230769230754,64.33087546786176,660.4694285861126,0.554700196225229
3727,0.0,3152.6666666666665,0.0,0.0,20643176.30769231,0.0,0.0,4543.476236065543,0.0
3728,0.0,1148.0,0.037037037037037035,0.0,2737185.230769231,0.037037037037037,0.0,1654.4440851141603,0.19245008972987515
3729,0.0,239.66666666666666,0.0,0.0,119298.69230769227,0.0,0.0,345.3964277575729,0.0
3730,116.66666666666667,395.3333333333333,0.5555555555555556,51038.46153846152,62020.61538461536,0.2564102564102565,225.9169350413145,249.03938520767224,0.5063696835418334
3731,434.037037037037,1526.4444444444443,1.5185185185185186,1116140.6524216528,1484958.8717948718,10.643874643874641,1056.475580608304,1218.5888854715818,3.2624951561457745
3733,23.925925925925927,477.81481481481484,3.5185185185185186,1986.6096866096862,390582.61823361827,13.336182336182333,44.57139987267268,624.9660936671831,3.6518738116455136
3734,0.0,424.3333333333333,0.0,0.0,92651.76923076922,0.0,0.0,304.3875313326241,0.0
3735,0.0,212.0,0.0,0.0,47293.61538461538,0.0,0.0,217.4709529675524,0.0
3736,0.0,16123.0,0.0,0.0,539496763.6153846,0.0,0.0,23227.069630398593,0.0
3737,13.296296296296296,322.3333333333333,0.2962962962962963,2127.0626780626762,115785.92307692309,0.8319088319088326,46.12008974473788,340.27330644192926,0.9120903638942978
3738,787.6296296296297,1716.6666666666667,0.5925925925925926,1840629.8575498578,1445099.0769230765,0.2507122507122506,1356.698145332947,1202.1227378779076,0.5007117441325404
3739,17.11111111111111,22.0,0.25925925925925924,868.717948717949,1005.2307692307693,0.19943019943019946,29.474021590511686,31.705374453407252,0.4465760847047225
3740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3742,245.5185185185185,315.6666666666667,0.25925925925925924,178850.79772079765,206955.923076923,0.19943019943019946,422.90755221537205,454.92408496025246,0.4465760847047225
3743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3744,236.44444444444446,304.0,0.25925925925925924,165874.87179487172,191940.92307692306,0.19943019943019946,407.2773892507068,438.11062881071837,0.4465760847047225
3745,95.5925925925926,107.92592592592592,0.4444444444444444,24757.943019943017,26416.301994301986,0.6410256410256413,157.3465697749494,162.53092627036241,0.8006407690254358
3747,54.74074074074074,324.0740740740741,4.111111111111111,2977.7378917378915,129074.14814814812,10.1025641025641,54.568653013776064,359.2689078505794,3.1784530990033657
3748,14.777777777777779,19.0,0.25925925925925924,647.9487179487177,749.7692307692307,0.19943019943019946,25.454836828169174,27.381914300669898,0.4465760847047225
3749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3750,0.0,293.3333333333333,0.0,0.0,178707.69230769234,0.0,0.0,422.7383260454301,0.0
3751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3752,0.0,1229.6666666666667,0.0,0.0,3140474.0769230756,0.0,0.0,1772.1382781608988,0.0
3753,3.3333333333333335,5.0,0.2222222222222222,40.38461538461536,51.92307692307692,0.1794871794871796,6.3548890930224236,7.20576692122892,0.42365927286816185
3754,74.14814814814815,95.33333333333333,0.25925925925925924,16312.592592592586,18876.000000000004,0.19943019943019946,127.72076022555059,137.38995596476477,0.4465760847047225
3755,149.59259259259258,200.4814814814815,0.5185185185185185,141708.94301994302,183983.10541310554,1.259259259259259,376.4424830169186,428.93251848409153,1.1221672153735642
3756,253.8148148148148,253.8148148148148,0.6666666666666666,135134.46438746437,135134.46438746437,0.9230769230769229,367.6063987303055,367.6063987303055,0.9607689228305227
3757,0.0,806.3333333333334,0.0,0.0,1350360.2307692305,0.0,0.0,1162.0500121635173,0.0
3758,0.0,59.666666666666664,0.0,0.0,7394.076923076926,0.0,0.0,85.9888185933318,0.0
3759,9.25925925925926,3549.3333333333335,0.37037037037037035,381.81481481481484,25644057.461538468,0.24216524216524224,19.54008226223254,5063.996194858214,0.4921028776234114
3760,0.0,21211.333333333332,0.0,0.0,934318448.5384618,0.0,0.0,30566.62311310266,0.0
3761,0.0,1105.0,0.0,0.0,2535975.0,0.0,0.0,1592.4744895915915,0.0
3762,0.0,1075.0,0.0,0.0,2400144.230769231,0.0,0.0,1549.2398880642181,0.0
3763,0.0,158.33333333333334,0.18518518518518517,0.0,52067.3076923077,0.15669515669515668,0.0,228.1826191722492,0.3958473906635696
3764,29.666666666666668,29.666666666666668,0.3333333333333333,1827.923076923076,1827.923076923076,0.23076923076923073,42.75421706595825,42.75421706595825,0.48038446141526137
3765,0.0,626.0,0.0,0.0,813896.3076923077,0.0,0.0,902.162018537861,0.0
3766,0.0,588.3333333333334,0.0,0.0,718898.0769230771,0.0,0.0,847.8785743979365,0.0
3767,102.4074074074074,117.03703703703704,0.25925925925925924,31116.096866096876,33783.190883190866,0.19943019943019946,176.3975534583654,183.80204265238964,0.4465760847047225
3768,0.0,801.6666666666666,0.0,0.0,1334775.0000000002,0.0,0.0,1155.3246297037037,0.0
3769,0.0,3710.3333333333335,0.2222222222222222,0.0,28592114.07692307,0.1794871794871796,0.0,5347.1594400132735,0.42365927286816185
3770,5.444444444444445,7.0,0.25925925925925924,87.948717948718,101.76923076923077,0.19943019943019946,9.378097778799173,10.08807368972049,0.4465760847047225
3771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3772,77.03703703703704,86.66666666666667,0.2962962962962963,14637.037037037038,15600.000000000002,0.21652421652421647,120.98362301169955,124.89995996796797,0.4653216269680751
3773,19.0,19.0,0.3333333333333333,749.7692307692307,749.7692307692307,0.23076923076923073,27.381914300669898,27.381914300669898,0.48038446141526137
3774,0.0,539.6666666666666,0.0,0.0,604883.307692308,0.0,0.0,777.7424430313084,0.0
3775,0.0,397.3333333333333,0.0,0.0,327891.69230769237,0.0,0.0,572.6182780069917,0.0
3776,0.0,785.6666666666666,0.18518518518518517,0.0,1282026.6923076925,0.1566951566951567,0.0,1132.2661755557713,0.3958473906635696
3777,78.33333333333333,78.33333333333333,0.3333333333333333,12744.230769230777,12744.230769230777,0.23076923076923073,112.89034843258646,112.89034843258646,0.48038446141526137
3778,3434.222222222222,8658.666666666666,0.9629629629629629,8084204.717948719,23179351.384615384,0.03703703703703703,2843.2735918213566,4814.493886652613,0.19245008972987523
3779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3781,1202.4444444444443,1546.0,0.25925925925925924,4289951.794871796,4964087.076923077,0.19943019943019946,2071.219880860503,2228.0231320439825,0.4465760847047225
3782,4.888888888888889,44.0,0.037037037037037035,645.3333333333329,4020.923076923077,0.03703703703703702,25.403411844343527,63.410748906814504,0.1924500897298752
3783,42.666666666666664,48.0,0.2962962962962963,4489.846153846153,4785.2307692307695,0.21652421652421647,67.00631428340283,69.17536244379764,0.4653216269680751
3784,0.0,783.6666666666666,0.0,0.0,1275507.9230769232,0.0,0.0,1129.3838687872797,0.0
